stock_id,food_item,brand,category,location,quantity,unit,servings_remaining,initial_quantity,initial_servings,stock_status,expiry_date,date_added,notes
inv_003,greek yoghurt,,dairy,fridge,500.0,g,0.0,500.0,0.0,ok,2026-05-14,2026-05-16,
inv_004,greek yoghurt,,dairy,fridge,500.0,g,5.0,500.0,5.0,ok,2026-05-14,2026-05-16,
inv_005,apple,,fruit,,5.0,,2.0,5.0,2.0,ok,,2026-05-16,
inv_006,banana,,fruit,,5.0,,4.0,5.0,4.0,ok,,2026-05-16,
inv_007,kiwi,,fruit,,6.0,,5.0,6.0,5.0,ok,,2026-05-16,
inv_008,chocolate milk,,dairy,fridge,2.0,l,0.0,2.0,0.0,ok,,2026-05-16,
inv_009,salad,,vegetable,fridge,3.0,,2.0,3.0,2.0,ok,,2026-05-16,
inv_010,almond chocolate nuts,,,,0.0,,0.0,0.0,0.0,out,,2026-05-16,
inv_011,Rolled oats,Uncle Tobys,pantry,cupboard,1.0,bag,10.0,1.0,10.0,ok,2026-12-01,2026-05-16,Added during Version 1.1 curl test
inv_012,Greek yoghurt,Farmers Union,dairy,fridge,1000.0,g,10.0,1000.0,10.0,ok,2026-05-25,2026-05-16,Large tub for breakfasts
inv_013,Greek yoghurt,Farmers Union,dairy,fridge,1000.0,g,10.0,1000.0,10.0,ok,2026-05-25,2026-05-16,Large tub for breakfasts
inv_014,Greek yoghurt,Farmers Union,dairy,fridge,1000.0,g,10.0,1000.0,10.0,ok,2026-05-25,2026-05-16,Large tub for breakfasts
inv_015,Rolled oats,Uncle Tobys,pantry,cupboard,1.0,bag,10.0,1.0,10.0,ok,2026-12-01,2026-05-16,Added during Version 1.1 curl test
inv_016,Rolled oats,Uncle Tobys,pantry,cupboard,1.0,bag,10.0,1.0,10.0,ok,2026-12-01,2026-05-17,Added during Version 1.1 curl test
