stock_id,food_item,brand,category,storage_location,quantity_on_hand,quantity_unit,servings_remaining,expiry_date,stock_status,serving_size,serving_unit,calories_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fibre_g_per_serving,sugar_g_per_serving,sodium_mg_per_serving,portion_confidence,nutrition_confidence,nutrition_source,last_checked,notes
STOCK-0001,Full cream milk,Generic / supermarket brand,Dairy,Fridge,1,2L bottle,8,,In stock,250,ml,160,8.5,12,8.5,0,12,100,High,Medium,Generic estimate,,Check carton label for exact brand values
STOCK-0002,Wholemeal bread,Generic / supermarket brand,Bread,Cupboard,1,loaf,9,,In stock,2,slices,180,8,30,3,5,4,350,High,Medium,Generic estimate,,Usually easiest to track by slices
STOCK-0003,White bread,Generic / supermarket brand,Bread,Cupboard,1,loaf,9,,In stock,2,slices,175,6,32,2.5,2,3,340,High,Medium,Generic estimate,,Replace with actual bread type if needed
STOCK-0004,White rice,Generic / supermarket brand,Grain,Cupboard,1,1kg bag,13,,In stock,75,g dry,270,5,60,0.5,1,0,5,Medium,Medium,Generic estimate,,Dry weight estimate; cooked volume varies
STOCK-0005,Brown rice,Generic / supermarket brand,Grain,Cupboard,1,1kg bag,13,,In stock,75,g dry,270,6,58,2,3,1,5,Medium,Medium,Generic estimate,,Dry weight estimate
STOCK-0006,Pasta,Generic / supermarket brand,Grain,Cupboard,1,500g packet,6,,In stock,80,g dry,285,10,57,1.5,3,2,10,Medium,Medium,Generic estimate,,Dry weight estimate
STOCK-0007,Rolled oats,Generic / supermarket brand,Grain,Cupboard,1,750g bag,18,,In stock,40,g,155,5,24,4,4,1,2,Medium,Medium,Generic estimate,,Useful staple for breakfast
STOCK-0008,Canned tuna in springwater,Generic / supermarket brand,Canned protein,Cupboard,4,95g cans,4,,In stock,95,g can,100,21,0,1,0,0,300,High,Medium,Generic estimate,,Sodium varies by brand
STOCK-0009,Canned chickpeas,Generic / supermarket brand,Canned legumes,Cupboard,2,400g cans,4,,In stock,125,g drained,150,8,20,3,7,2,300,Medium,Medium,Generic estimate,,Rinsing can reduce sodium
STOCK-0010,Canned diced tomatoes,Generic / supermarket brand,Canned vegetables,Cupboard,3,400g cans,6,,In stock,200,g,40,2,7,0.5,3,6,250,Medium,Medium,Generic estimate,,Good base for pasta/curry/stews
STOCK-0011,Baked beans,Generic / supermarket brand,Canned meal,Cupboard,2,420g cans,4,,In stock,210,g,180,10,30,1,8,11,650,Medium,Medium,Generic estimate,,Sodium and sugar vary by brand
STOCK-0012,Apples,,Fruit,Fridge,6,pieces,6,,In stock,1,medium apple,95,0.5,25,0.3,4,19,2,High,Medium,Generic fresh produce estimate,,Size varies
STOCK-0013,Bananas,,Fruit,Bench,6,pieces,6,,In stock,1,medium banana,105,1.3,27,0.4,3,14,1,High,Medium,Generic fresh produce estimate,,Size varies
STOCK-0014,Carrots,,Vegetable,Fridge,1,1kg bag,10,,In stock,100,g,41,1,10,0.2,3,5,70,Medium,Medium,Generic fresh produce estimate,,"Good for snacks, soups, stir fries"
STOCK-0015,Broccoli,,Vegetable,Fridge,1,head,4,,In stock,100,g,35,2.5,7,0.4,3,1.5,40,Low,Medium,Generic fresh produce estimate,,Head size varies
STOCK-0016,Frozen mixed vegetables,Generic / supermarket brand,Frozen vegetable,Freezer,1,1kg bag,10,,In stock,100,g,55,3,8,0.5,4,3,30,Medium,Medium,Generic estimate,,Values vary by vegetable mix
STOCK-0017,Chicken breast,,Meat,Fridge,1,1kg pack,5,,In stock,200,g raw,240,46,0,5,0,0,120,Medium,Medium,Generic raw meat estimate,,Weighing improves accuracy
STOCK-0018,Beef mince,,Meat,Fridge,1,500g pack,4,,In stock,125,g raw,250,25,0,17,0,0,75,Medium,Low,Generic raw meat estimate,,Fat content varies a lot; check label
STOCK-0019,Eggs,Generic / supermarket brand,Protein,Fridge,12,eggs,12,,In stock,1,large egg,70,6,0.5,5,0,0,70,High,Medium,Generic estimate,,Easy item for stock and nutrition tracking
STOCK-0020,Cheddar cheese,Generic / supermarket brand,Dairy,Fridge,1,500g block,17,,In stock,30,g,125,7.5,0.5,10,0,0.2,180,Medium,Medium,Generic estimate,,Brand values vary
STOCK-0021,Greek yoghurt,Generic / supermarket brand,Dairy,Fridge,1,1kg tub,5,,In stock,200,g,150,18,8,5,0,7,90,Medium,Low,Generic estimate,,"Full-fat, low-fat and high-protein styles vary a lot"
STOCK-0022,Olive oil,Generic / supermarket brand,Cooking oil,Cupboard,1,500ml bottle,33,,In stock,15,ml,120,0,0,14,0,0,0,Low,High,Generic estimate,,Easy to underestimate; track by tablespoon if possible
STOCK-0023,Peanut butter,Generic / supermarket brand,Spread,Cupboard,1,375g jar,19,,In stock,20,g,120,5,3,10,2,1,80,Low,Medium,Generic estimate,,Portions are often underestimated
STOCK-0024,Ground cumin,Generic / supermarket brand,Seasoning,Cupboard,1,jar,,,In stock,1,tsp,8,0.4,1,0.5,0.2,0,2,Low,Low,Generic spice estimate,,Usually negligible unless used heavily
STOCK-0025,Salt,Generic / supermarket brand,Seasoning,Cupboard,1,container,,,In stock,1,tsp,0,0,0,0,0,0,2300,Low,High,Generic estimate,,Important for sodium tracking
STOCK-0026,Black pepper,Generic / supermarket brand,Seasoning,Cupboard,1,jar,,,In stock,1,tsp,6,0.2,1.5,0.1,0.6,0,0,Low,Low,Generic spice estimate,,Usually negligible unless used heavily
